Row Labels,Count of Application
bash,37232
/buildstore/_bazel_rmahendr/1a542c6378d172af3aab2f84ceeed936/external/rules_asml_sh_default_linux/bin/bash,11
/usr/bin/bash,37221
hardlink,30400
/usr/sbin/hardlink,30400
rm,20022
/usr/bin/rm,20022
dd,17928
/usr/bin/dd,17928
smtp,17801
/usr/libexec/postfix/smtp,17801
sshd,14787
/usr/sbin/sshd,14787
dnf-3,12467
/usr/bin/dnf-3,12467
sudo,8948
/usr/bin/sudo,8948
platform-python3.6,7859
/usr/libexec/platform-python3.6,7859
dracut-install,6240
/usr/lib/dracut/dracut-install,6240
pickup,5460
/usr/libexec/postfix/pickup,5460
curl,4807
/usr/bin/curl,4807
process-wrapper,4188
/buildstore/.cache/bazel/_bazel_jonispe1/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,1400
/buildstore/.cache/bazel/_bazel_jonispe1/install/b8a069f8b7ab718c13dbfa7ea3667622/process-wrapper,25
/buildstore/.cache/bazel/estapel/_bazel_estapel/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,92
/buildstore/.cache/bazel/estapel/_bazel_estapel/install/b8a069f8b7ab718c13dbfa7ea3667622/process-wrapper,2
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,937
/buildstore/_bazel_btorres/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,5
/buildstore/_bazel_omhassan/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,1565
/buildstore/_bazel_rmahendr/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,161
/buildstore/estapel_at_qbl_P984675_29_10A_int/cache/bazel-user-cache/install/8d5f50e28a91af5bb7169f1a7a6e173a/process-wrapper,1
cpio,4158
/buildstore/.cache/bazel/_bazel_jonispe1/a1b947492321dcffc7c5b450d81e01f1/external/backend_package_1097725816/rpm2cpio_vendored/bin/cpio,393
/buildstore/.cache/bazel/_bazel_jonispe1/a1b947492321dcffc7c5b450d81e01f1/external/backend_package_696731679/rpm2cpio_vendored/bin/cpio,966
/buildstore/.cache/bazel/estapel/_bazel_estapel/b7c4c1ccd7cf0b25fb8b32ed16539365/external/backend_package_1579429704/rpm2cpio_vendored/bin/cpio,81
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/18db0ff9e1b9555342212860abc0edb0/external/backend_package_1321164985/rpm2cpio_vendored/bin/cpio,133
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/18db0ff9e1b9555342212860abc0edb0/external/backend_package_696731679/rpm2cpio_vendored/bin/cpio,321
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_1034244039/rpm2cpio_vendored/bin/cpio,92
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_1063407358/rpm2cpio_vendored/bin/cpio,14
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_1321164985/rpm2cpio_vendored/bin/cpio,101
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_265775746/rpm2cpio_vendored/bin/cpio,26
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_572166101/rpm2cpio_vendored/bin/cpio,31
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_696731679/rpm2cpio_vendored/bin/cpio,137
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/b3640235374b41fe14d71ccbe71210bd/external/backend_package_861807989/rpm2cpio_vendored/bin/cpio,62
/buildstore/_bazel_btorres/1d2d78a9671fe91396c3e8dad2f80e04/external/backend_package_1034244039/rpm2cpio_vendored/bin/cpio,1
/buildstore/_bazel_btorres/1d2d78a9671fe91396c3e8dad2f80e04/external/backend_package_696731679/rpm2cpio_vendored/bin/cpio,1
/buildstore/_bazel_omhassan/8bc74f3af8f4433582e3062a7e774891/external/backend_package_1063407358/rpm2cpio_vendored/bin/cpio,14
/buildstore/_bazel_omhassan/8bc74f3af8f4433582e3062a7e774891/external/backend_package_1321164985/rpm2cpio_vendored/bin/cpio,100
/buildstore/_bazel_omhassan/a71070dac6475db1df0220b3f49bcf20/external/backend_package_1321164985/rpm2cpio_vendored/bin/cpio,1
/buildstore/_bazel_omhassan/ad6f0d46ac3485b6ce0e1739f5d9c8e0/external/backend_package_1321164985/rpm2cpio_vendored/bin/cpio,101
/buildstore/_bazel_omhassan/ad6f0d46ac3485b6ce0e1739f5d9c8e0/external/backend_package_696731679/rpm2cpio_vendored/bin/cpio,138
